Model,Batch Size,Num Workers,Num GPUs,Average Images/s
ResNet-50,16,8,2,403.25
ResNet-50,32,8,2,729
ResNet-50,64,8,2,1106.75
ResNet-50,128,8,2,1281.25
ResNet-50,256,8,2,1321.25
ResNet-50,512,8,2,1212.5
ResNet-101,16,8,2,219
ResNet-101,32,8,2,423.5
ResNet-101,64,8,2,675.5
ResNet-101,128,8,2,831.25
ResNet-101,256,8,2,897.75
ResNet-101,512,8,2,866.75
VGG-16,16,8,2,411
VGG-16,32,8,2,605.25
VGG-16,64,8,2,784.25
VGG-16,128,8,2,914.75
VGG-16,256,8,2,946.25
VGG-16,512,8,2,914
Inception-V3,16,8,2,216
Inception-V3,32,8,2,413
Inception-V3,64,8,2,642
Inception-V3,128,8,2,808.5
Inception-V3,256,8,2,845.75
Inception-V3,512,8,2,801.25
LeNet,16,8,2,2288.25
LeNet,32,8,2,2451.75
LeNet,64,8,2,2467
LeNet,128,8,2,2265.5
LeNet,256,8,2,2033.25
LeNet,512,8,2,2147
AlexNet,16,8,2,1200.75
AlexNet,32,8,2,2060.25
AlexNet,64,8,2,2030.75
AlexNet,128,8,2,2022.5
AlexNet,256,8,2,1978
AlexNet,512,8,2,1664
